gene,Atha_WT-Col-0_sl_FLT_Rep1_G1S1,Atha_WT-Col-0_sl_FLT_Rep2_G1S2,Atha_WT-Col-0_sl_FLT_Rep3_G1S3,Atha_WT-Col-0_sl_GC_Rep1_G2S1,Atha_WT-Col-0_sl_GC_Rep2_G2S2,Atha_WT-Col-0_sl_GC_Rep3_G2S3
AT5G41770,917.8675373,816.45873,795.8069193,883.989889,787.5998473,828.7920213
AT5G41780,3.422570405,3.577214128,8.762589322,9.418598023,5.806964403,4.114882813
AT5G41790,1557.002639,1362.183322,1416.704847,994.4673961,1476.687657,1149.546987
AT5G41800,156.1932129,205.5531239,201.6897348,144.4949575,224.2155457,206.437384
AT5G41810,306.1482904,460.0617277,448.4302023,245.3436401,356.8125906,318.0972366
AT5G41820,0.553150446,1.729057564,4.822562402,1.628470539,3.093868307,2.821598359
AT5G41830,0.497470509,10.81816233,17.32398391,2.938019937,12.07958413,6.434062135
AT5G41840,0.549555871,4.322676757,3.243003576,4.871810255,3.115654053,2.83549302
AT5G41850,25.59305913,21.87722333,26.23667511,21.98750831,23.82109689,19.83237335
AT5G41860,37.38284225,65.19679245,64.35333189,46.49226681,56.60588938,47.0084707
AT5G41870,416.3235456,263.8827998,258.8105436,196.5326056,210.6971631,241.5720593
AT5G41880,133.5942929,110.6037544,84.27807808,58.45439762,56.69048041,58.98022869
AT5G41890,0.547528268,0.8687523,0.814407425,0,1.249264953,1.70075045
AT5G41900,114.4595509,141.5369772,155.4134684,106.3225625,239.075536,154.2683082
AT5G41910,28.0131106,74.47571014,90.70139085,42.26505201,70.0746467,54.88429056
AT5G41920,245.8943907,315.1464496,293.1399438,323.0610213,286.4558946,236.5000897
AT5G41940,612.3399312,624.2705582,537.0231647,765.1909887,587.4641649,677.2320475
AT5G41950,960.4674953,734.8420642,669.9142891,710.6679602,635.0993762,703.3637366
AT5G41960,111.6157127,123.1168206,130.0891673,93.52921654,107.9894547,110.7517977
AT5G41970,531.338963,487.4932598,525.3132265,480.8681029,369.1785845,483.118662
AT5G41980,36.75098885,51.13399357,52.00697963,32.49832283,38.05759281,37.42243182
AT5G41990,1206.084561,1259.793843,1239.122994,2039.300731,1889.958526,2072.145152
AT5G42000,376.69498,359.540868,342.6656406,245.6494792,339.5287271,370.7326629
AT5G42010,69.85214472,75.46686171,110.7254058,170.2508315,133.0526175,161.0244452
AT5G42020,4876.41304,2233.308469,2203.651209,3481.554138,2132.730132,2542.01869
AT5G42030,907.4325839,1050.102422,927.7241782,667.3905753,877.1423524,914.6619642
AT5G42040,9.266998386,14.85532014,12.28225342,4.070371358,8.143619926,5.100248291
AT5G42050,1835.151838,2748.209381,2447.928219,2202.16433,3175.278192,2957.104661
AT5G42053,0,3.851299313,0.894107139,0.835508183,5.257232877,1.688969124
AT5G42060,110.8093527,114.6150793,120.5945388,84.32766123,93.18806009,102.9578115
AT5G42070,353.3214613,348.4470455,431.361549,281.6531292,231.2553812,231.5821203
AT5G42080,2675.035743,2652.901685,2452.283027,2792.199382,2494.809731,2620.207563
AT5G42090,1839.990368,1829.422559,1739.670989,1863.549442,2119.448803,2083.646554
AT5G42092,1737.107378,1647.885889,1533.466295,1789.49437,1990.127384,2016.871083
AT5G42100,1157.203095,1082.015055,1197.743833,675.790178,1013.524495,773.658774
AT5G42110,77.66759987,101.9946516,111.2948558,40.1099455,72.2382522,53.18020423
AT5G42120,8.264365862,8.616534579,29.09700739,27.5843699,17.41877235,14.18053611
AT5G42130,249.56534,410.5096277,414.1586995,181.0533711,314.6261022,230.8144374
AT5G42140,270.3526326,218.1941313,213.5754866,179.4993388,206.8295511,216.0681963
AT5G42146,19.42330911,29.2365121,38.97667463,22.05161489,45.40814937,36.79940491
AT5G42150,220.488519,213.3920112,214.7110313,117.7154498,174.4165742,156.5263004
AT5G42180,495.5130822,675.0205372,605.1047168,796.6708088,1364.821961,1255.720749
AT5G42190,521.9181261,568.607587,491.2008285,522.384914,518.8022101,600.2104113
AT5G42200,93.28163586,163.2538305,208.6156494,364.6224179,155.2829044,333.2376243
AT5G42210,12.82709725,11.02488943,11.07953254,8.891680386,18.75384197,16.05370663
AT5G42220,534.2506213,360.2051554,375.0009909,381.8262397,420.8763067,441.4400966
